"","X","word","n","sentiment"
"795",4970,"piety",1,"positive"
"796",4977,"pity",1,"negative"
"797",5011,"presumptuous",1,"negative"
"798",5029,"prosper",1,"positive"
"799",5032,"prosperous",1,"positive"
"800",5033,"protest",1,"negative"
"801",5034,"providence",1,"positive"
"802",5038,"prudence",1,"positive"
"803",5044,"punish",1,"negative"
"804",5066,"rage",1,"negative"
"805",5077,"reasonable",1,"positive"
"806",5085,"refreshing",1,"positive"
"807",5089,"relief",1,"positive"
"808",5123,"revile",1,"negative"
"809",5142,"rough",1,"negative"
"810",5147,"rude",1,"negative"
"811",5148,"rue",1,"negative"
"812",5149,"ruin",1,"negative"
"813",5150,"ruins",1,"negative"
"814",5182,"satisfy",1,"positive"
"815",5183,"satisfying",1,"positive"
"816",5204,"secure",1,"positive"
"817",5223,"sever",1,"negative"
"818",5227,"shambles",1,"negative"
"819",5230,"sharper",1,"positive"
"820",5231,"sharply",1,"negative"
"821",5249,"shun",1,"negative"
"822",5250,"shunned",1,"negative"
"823",5251,"sickly",1,"negative"
"824",5257,"silly",1,"negative"
"825",5259,"sincerely",1,"positive"
"826",5264,"slack",1,"negative"
"827",5267,"slanderously",1,"negative"
"828",5268,"slaves",1,"negative"
"829",5271,"slowly",1,"negative"
"830",5275,"smell",1,"negative"
"831",5276,"smelling",1,"negative"
"832",5280,"smooth",1,"positive"
"833",5295,"soundness",1,"positive"
"834",5305,"speedily",1,"positive"
"835",5309,"spoiled",1,"negative"
"836",5320,"stall",1,"negative"
"837",5324,"stern",1,"negative"
"838",5337,"strain",1,"negative"
"839",5342,"strike",1,"negative"
"840",5349,"stuck",1,"negative"
"841",5351,"stumble",1,"negative"
"842",5353,"subjected",1,"negative"
"843",5358,"subvert",1,"negative"
"844",5363,"sucked",1,"negative"
"845",5366,"sue",1,"negative"
"846",5368,"suffice",1,"positive"
"847",5370,"sumptuously",1,"positive"
"848",5371,"sunder",1,"negative"
"849",5373,"sunk",1,"negative"
"850",5375,"superfluous",1,"negative"
"851",5376,"superstition",1,"negative"
"852",5377,"superstitious",1,"negative"
"853",5379,"supreme",1,"positive"
"854",5390,"swollen",1,"negative"
"855",5409,"tedious",1,"negative"
"856",5417,"terrible",1,"negative"
"857",5437,"threaten",1,"negative"
"858",5438,"threatening",1,"negative"
"859",5455,"tortured",1,"negative"
"860",5461,"traitor",1,"negative"
"861",5463,"trample",1,"negative"
"862",5468,"transparent",1,"positive"
"863",5469,"trap",1,"negative"
"864",5481,"triumph",1,"positive"
"865",5485,"troubles",1,"negative"
"866",5487,"troubling",1,"negative"
"867",5513,"unprepared",1,"negative"
"868",5520,"untimely",1,"negative"
"869",5522,"upbraid",1,"negative"
"870",5533,"usurp",1,"negative"
"871",5537,"vainly",1,"negative"
"872",5538,"valiant",1,"positive"
"873",5546,"vehement",1,"negative"
"874",5547,"venomous",1,"negative"
"875",5549,"vex",1,"negative"
"876",5550,"violent",1,"negative"
"877",5551,"viper",1,"negative"
"878",5559,"vomit",1,"negative"
"879",5561,"wail",1,"negative"
"880",5569,"warning",1,"negative"
"881",5582,"weaker",1,"negative"
"882",5584,"weariness",1,"negative"
"883",5595,"wholesome",1,"positive"
"884",5598,"wiles",1,"negative"
"885",5601,"win",1,"positive"
"886",5605,"wisely",1,"positive"
"887",5614,"won",1,"positive"
"888",5624,"wounds",1,"negative"
"889",5627,"wrest",1,"negative"
"890",5628,"wrestle",1,"negative"
"891",5629,"wrinkle",1,"negative"
"892",5635,"youthful",1,"positive"
